         3  6          63         204  ! atom pairs, coefficients, terms
  TERM GROUP :     EXPONENTS
   146    41 :     1    0    1    0    1    1
   147    39 :     1    0    1    0    2    0
   148    51 :     1    0    1    1    0    0
   149    53 :     1    0    1    1    0    1
   150    52 :     1    0    1    1    1    0
   151    58 :     1    0    1    2    0    0
   152    43 :     1    0    2    0    0    0
   153    45 :     1    0    2    0    0    1
   154    44 :     1    0    2    0    1    0
   155    54 :     1    0    2    1    0    0
   156    46 :     1    0    3    0    0    0
   157    28 :     1    1    0    0    0    0
   158    29 :     1    1    0    0    0    1
   159    30 :     1    1    0    0    0    2
   160    29 :     1    1    0    0    1    0
   161    31 :     1    1    0    0    1    1
   162    30 :     1    1    0    0    2    0
   163    51 :     1    1    0    1    0    0
   164    52 :     1    1    0    1    0    1
   165    53 :     1    1    0    1    1    0
   166    61 :     1    1    0    2    0    0
   167    51 :     1    1    1    0    0    0
   168    53 :     1    1    1    0    0    1
   169    52 :     1    1    1    0    1    0
   170    63 :     1    1    1    1    0    0
   171    61 :     1    1    2    0    0    0
   172    32 :     1    2    0    0    0    0
   173    33 :     1    2    0    0    0    1
   174    34 :     1    2    0    0    1    0
   175    54 :     1    2    0    1    0    0
   176    58 :     1    2    1    0    0    0
   177    35 :     1    3    0    0    0    0
   178    19 :     2    0    0    0    0    0
   179    22 :     2    0    0    0    0    1
   180    24 :     2    0    0    0    0    2
   181    20 :     2    0    0    0    1    0
   182    23 :     2    0    0    0    1    1
   183    21 :     2    0    0    0    2    0
   184    55 :     2    0    0    1    0    0
   185    56 :     2    0    0    1    0    1
   186    57 :     2    0    0    1    1    0
   187    62 :     2    0    0    2    0    0
   188    43 :     2    0    1    0    0    0
   189    45 :     2    0    1    0    0    1
   190    44 :     2    0    1    0    1    0
   191    61 :     2    0    1    1    0    0
   192    60 :     2    0    2    0    0    0
   193    32 :     2    1    0    0    0    0
   194    34 :     2    1    0    0    0    1
   195    33 :     2    1    0    0    1    0
   196    58 :     2    1    0    1    0    0
   197    54 :     2    1    1    0    0    0
   198    36 :     2    2    0    0    0    0
   199    25 :     3    0    0    0    0    0
   200    27 :     3    0    0    0    0    1
   201    26 :     3    0    0    0    1    0
   202    59 :     3    0    0    1    0    0
   203    46 :     3    0    1    0    0    0
   204    35 :     3    1    0    0    0    0
